sku,webshop_id
7084,37928511864984
7636,37928530083992
7546,37928530280600
7616,37928530313368
7526,37928530018456
701,37928596471960
700,37928596504728
610-10,37928487911576
6101-10,37928487944344
610-01W,37928488009880
6101-01W,37928488075416
610-GREY,37928488108184
6101-GREY,37928488173720
611-10,37928502722712
611-01W,37928502788248
611-GREY,37928502853784
6111-10,37928502919320
6111-01W,37928502984856
6111-GREY,37928503050392
995 1,37928590344344
971-10,38185217982616
971-GREY,38185218015384
167-10,37928509178008
167-01W,37928509210776
8154,37928618950808
8155,37928618983576
8156,37928619016344
8157,37928619049112
30234-10,37928514814104
30234-01W,37928514846872
30234-GREY,37928514879640
4260,37928488730776
4200,37928493875352
4201-10,37928485093528
4201-12,37928483815576
4203,37928493744280
4203-12,37928480768152
4203-11,37928481620120
4203-4,37928481816728
4203-1,37928482406552
4203-3,37928481915032
4203-2,37928482144408
4203-10,37928481063064
4201-11,37928484864152
4201-1,37928485617816
4201-2,37928485519512
4206,37928493580440
4206-10,37928479785112
4206-12,37928478965912
4206-1,37928480243864
4206-2,37928480145560
4220,37928491057304
4204,37928477229208
4207,37928477196440
4210,37928493514904
4214,37928492892312
4204,37928492728472
4230,37928492466328
4250,37928488566936
4201-4,37928485257368
4201-3,37928485388440
4206-11,37928479490200
4206-4,37928479916184
4206-3,37928480080024
4240,37928490827928
4212,37928493482136
7485,37928592867480
617C-10,37928499085464
617C-01W,37928499118232
7056-10,37928501444760
7056-01W,37928501477528
7056-GREY,37928501510296
640C-10,37928498626712
640C-01W,37928498659480
671-10,37928498561176
671-01W,37928498593944
619C-10,37928498987160
619C-01W,37928499019928
6101NC,37928475951256
5121NC,37928475984024
5141NC,37928476016792
70905,37928613249176
70512-10,37928539717784
70512-01W,37928539750552
70512-GREY,37928539783320
70514-10,37928539324568
70514-01W,37928539357336
70514-GREY,37928539390104
7052-10,37928539914392
7052-01W,37928539947160
7052-GREY,37928539979928
6378-10,37928504230040
9512-10,37928515731608
9512-01W,37928515764376
9532-10,37928515797144
9532-01W,37928515829912
9511-10,37928515862680
9511-01W,37928515895448
9531-10,37928515928216
9531-01W,37928515960984
9800A-10,37928518516888
9800A-01W,37928518549656
9700A-10,37928518910104
9700A-01W,37928518942872
6181-10,37928612626584
6181-01W,37928612659352
6181-GREY,37928612692120
6182-10,38066633310360
6182-01W,38066633343128
6182-GREY,38066633375896
156-10,37928514945176
156-01W,37928514977944
6183-10,38066720145560
6183-01W,38066720178328
6183-GREY,38066720211096
5121-10,37928597586072
5121-01W,37928597618840
5121-GREY,37928597651608
5141-10,37928597258392
5141-01W,37928597291160
5141-GREY,37928597323928
5101-10,37928597848216
5101-01W,37928597880984
5101-GREY,37928597913752
46742-10,37928570126488
46742-01W,37928570159256
46722-10,37928570290328
46722-01W,37928570323096
49741-10,37928543223960
49741-01W,37928543256728
49721-10,37928543420568
49721-01W,37928543453336
976 1,37928523792536
978 1,37928523825304
977 1,37928523858072
7487,37928592343192
7069,37928554922136
4211,37928475558040
182-10,37928535851160
174-10,37928537915544
174-01W,37928537948312
174-GREY,37928537981080
991 1,37928538734744
960N 1,37928525004952
9601,37928525037720
972 1,37928524185752
958 1-10,37928525463704
958 1-01W,37928525496472
973 1,37928524120216
974 1,37928523956376
8462-1,37928604598424
8112,37928609153176
8460-1,37928603091096
8466-1,37928603254936
8466-2,37928603156632
7686,37928605024408
7684,37928605089944
8450-2,37928602108056
8450-1,37928602042520
8454-2,37928602468504
7664,37928605417624
7670,37928605253784
7666,37928606826648
7668,37928606367896
8458-1,37928602599576
8458-2,37928602861720
8464-2,37928603484312
8464-3,37928603386008
8464-1,37928604369048
7049-10,37928540078232
7049-01W,37928540111000
7049-GREY,37928540143768
7040-10,37928538767512
7040-01W,37928538800280
7040-GREY,37928538833048
47370-10,37928545779864
473701-10,37928545812632
47370-01W,37928545845400
473701-01W,37928545878168
47270-10,37928545583256
472701-10,37928545616024
47270-01W,37928545648792
472701-01W,37928545681560
4764-10,37928473002136
47641-10,37928473034904
47259-10,37928472805528
472591-10,37928472838296
472591-01W,37928472871064
4625-10,37928486240408
46251-10,37928486273176
4625-01W,37928486305944
46251-01W,37928486338712
4625-GREY,37928486371480
46251-GREY,37928486404248
46252-10,37928598405272
462521-10,37928598438040
46252-01W,37928598470808
462521-01W,37928598503576
46252-GREY,37928598536344
462521-GREY,37928598601880
4925-10,37928544632984
4925-01W,37928544665752
49251-10,37928544698520
49251-01W,37928544731288
954 1,37928473133208
986 1,37928522809496
984 1,37928522842264
988 1,37928522875032
6359-10,37928494497944
6359-01W,37928494530712
7479,37928504459416
4634-10,37928569602200
46341-10,37928569634968
4634-01W,37928569667736
46341-01W,37928569733272
7486,37928592277656
693-10,37928576188568
693-01W,37928576221336
693-GREY,37928576254104
8129,37928575533208
8128,37928575697048
94005-10,37928522481816
94005-01W,37928522514584
94001-10,37928522088600
94001-01W,37928522121368
670-10,37928498495640
670-01W,37928498528408
6359A-10,38185191506072
6359A-01W,38185191538840
6380-10,38185090908312
6379-10,38185090318488
471278-10,37928548303000
471478-10,37928548237464
47978-10,37928548368536
479781-10,37928548401304
4759-10,37928547614872
47591-10,37928547647640
47170-10,37928546599064
471701-10,37928546664600
47170-01W,37928546730136
471701-01W,37928546828440
4760-10,37928542830744
47601-10,37928542863512
4762-10,37928542699672
47621-10,37928542732440
4718-10,37928542568600
47181-10,37928542601368
471268-10,37928549154968
471268-01W,37928549187736
471468-10,37928549023896
471468-01W,37928549056664
47667-10,37928549613720
47667-01W,37928549646488
476671-10,37928549679256
476671-01W,37928549712024
4754-10,37928473067672
47541-10,37928473100440
7064,37928555184280
16690-GREY,38185125413016
166120-GREY,38185125445784
166140-GREY,38185125478552
7066,37928555249816
7065,37928555020440
161-10,37928578744472
161-01W,37928578777240
161-GREY,37928578810008
6359B-10,38185199304856
6359B-01W,38185199337624
163-10,37928578220184
163-01W,37928578252952
163-GREY,37928578285720
30255-10,37928512389272
30255-01W,37928512422040
4640-10,37928571076760
46401-10,37928571109528
4640-01W,37928571142296
46401-01W,37928571175064
4640-GREY,37928571207832
